gid,objectid,observed_m,igrf_nt,magnetic_a,longitude_,latitude_r,toposheet
317634,317634,41753.13199,41602.05227,151.079726,77.66847,14.40244,57F/11
317635,317635,41715.13092,41561.67774,153.4531817,77.52069,14.31744,57F/11
317636,317636,41728.13137,41573.40373,154.7276386,77.74678,14.283,57F/11
317637,317637,41749.13176,41592.98217,156.1495871,77.64261,14.38103,57F/11
317638,317638,41753.13185,41596.14325,156.9885975,77.66706,14.38356,57F/11
317639,317639,41780.13243,41622.21246,157.9199729,77.61953,14.48367,57F/11
317640,317640,41751.13182,41592.34536,158.7864582,77.74192,14.34708,57F/11
317641,317641,41785.13262,41626.11375,159.0188688,77.74794,14.45567,57F/11
317642,317642,41730.1311,41567.45467,162.6764219,77.56639,14.32169,57F/11
317643,317643,41734.13123,41571.41352,162.7177028,77.61553,14.31886,57F/11
317644,317644,41729.13098,41563.56178,165.5691944,77.52906,14.32094,57F/11
317645,317645,41742.13135,41574.74687,167.3844869,77.67794,14.30969,57F/11
317646,317646,41731.13099,41561.64007,169.4909281,77.61514,14.28672,57F/11
317647,317647,41769.13188,41599.32393,169.8079524,77.60525,14.41372,57F/11
317648,317648,41740.13113,41568.68319,171.4479413,77.57547,14.32281,57F/11
317649,317649,41763.13166,41590.72239,172.409268,77.57694,14.39467,57F/11
317650,317650,41763.13161,41590.14771,172.983895,77.53456,14.40636,57F/11
317651,317651,41749.13133,41573.3728,175.7585373,77.69528,14.29956,57F/11
317652,317652,41793.13228,41615.4816,177.6506839,77.62725,14.45936,57F/11
317653,317653,41743.13101,41564.69298,178.4380284,77.53903,14.32144,57F/11
317654,317654,41785.13212,41605.94648,179.1856408,77.70897,14.40225,57F/11
317655,317655,41741.13108,41561.6361,179.4949852,77.72794,14.25008,57F/11
317656,317656,41756.13135,41576.0843,180.047058,77.63653,14.32747,57F/11
317657,317657,41739.13077,41552.9938,186.1369745,77.59194,14.26564,57F/11
317658,317658,41763.13139,41576.75157,186.3798205,77.66892,14.31922,57F/11
317659,317659,41817.13259,41627.58461,189.5479866,77.65967,14.48839,57F/11
317660,317660,41814.1325,41624.41432,189.7181835,77.63867,14.48475,57F/11
317661,317661,41817.13255,41626.72253,190.41002,77.63097,14.49467,57F/11
317662,317662,41801.13222,41610.67277,190.4594556,77.70236,14.41981,57F/11
317663,317663,41734.13045,41541.58375,192.5466968,77.52369,14.25006,57F/11
317664,317664,41818.13256,41623.5071,194.6254539,77.73922,14.44994,57F/11
317665,317665,41806.13214,41609.36184,196.7702987,77.63519,14.43692,57F/11
317666,317666,41769.13123,41572.0973,197.0339344,77.60014,14.32608,57F/11
317667,317667,41827.13269,41629.41567,197.7170204,77.72975,14.47217,57F/11
317668,317668,41815.13226,41613.54302,201.5892407,77.65644,14.44378,57F/11
317669,317669,41816.13222,41611.68962,204.4426025,77.6675,14.43422,57F/11
317670,317670,41779.13129,41574.59016,204.5411318,77.59733,14.33519,57F/11
317671,317671,41837.13275,41631.94457,205.188181,77.72858,14.48075,57F/11
317672,317672,41830.13243,41620.40854,209.7238934,77.67686,14.45964,57F/11
317673,317673,41783.13114,41567.72688,215.4042645,77.62225,14.30453,57F/11
317674,317674,41772.13081,41554.85365,217.2771619,77.58833,14.27297,57F/11
317675,317675,41786.13115,41567.79205,218.3391047,77.62961,14.30236,57F/11
317676,317676,41790.13126,41570.49708,219.6341728,77.68453,14.29353,57F/11
317677,317677,41801.13147,41578.54158,222.5898911,77.71089,14.31158,57F/11
317678,317678,41829.13203,41604.83376,224.298265,77.62922,14.42406,57F/11
317679,317679,41848.13244,41620.82471,227.3077279,77.66878,14.46356,57F/11
317680,317680,41845.13241,41617.65643,227.4759838,77.73253,14.433,57F/11
317681,317681,41851.13231,41612.79101,238.3412957,77.74903,14.41186,57F/11
317682,317682,41825.13129,41573.42202,251.709271,77.64136,14.31714,57F/11
317683,317683,41884.13257,41627.25607,256.8765027,77.64619,14.49158,57F/11
317684,317684,41862.13191,41603.70205,258.4298621,77.50961,14.45847,57F/11
317685,317685,41873.13213,41612.3154,260.8167329,77.52686,14.48094,57F/11
317686,317686,41901.13259,41626.81825,274.3143437,77.685,14.47789,57F/11
317687,317687,41871.13168,41591.19644,279.9352434,77.60008,14.38881,57F/11
317688,317688,41885.13208,41605.02458,280.1075045,77.69369,14.40411,57F/11
317689,317689,41889.13191,41601.98051,287.1514007,77.55561,14.43822,57F/11
317690,317690,41869.13151,41580.21011,288.9214001,77.71547,14.31561,57F/11
317691,317691,41919.13258,41626.58868,292.5438941,77.67158,14.48139,57F/11
317692,317692,41862.13121,41567.85726,294.2739488,77.70036,14.27967,57F/11
317693,317693,41879.13151,41579.40987,299.7216364,77.73742,14.30589,57F/11
317694,317694,41927.13235,41615.84183,311.2905171,77.70325,14.43639,57F/11
317695,317695,41919.13182,41599.59175,319.5400721,77.51475,14.44347,57F/11
317696,317696,41938.13209,41607.8038,330.3282928,77.61619,14.43789,57F/11
317697,317697,41935.13188,41601.79911,333.3327665,77.52517,14.44733,57F/11
317698,317698,41917.13119,41566.24747,350.8837183,77.72383,14.26672,57F/11
317699,317699,42080.13246,41620.53282,459.5996376,77.70353,14.45158,57F/11
317700,317700,42059.13158,41585.94296,473.1886183,77.62556,14.36342,57F/11
317701,317701,42119.13245,41620.43977,498.6926763,77.69758,14.45317,57F/11
317702,317702,42192.13154,41581.98596,610.1455729,77.69244,14.32889,57F/11
317703,317703,42171.13083,41556.01416,615.1166705,77.57656,14.28064,57F/11
317704,317704,42418.13116,41564.61373,853.5174273,77.74231,14.25531,57F/11
